Название;срок службы;число трудодней;потребление воды;потребление электричества;тип
Завод взрывчатых веществ;20;2712;1,5;3;завод
Цементный завод 1;20;5475;0,6;6,9;завод
Цементный завод 2;20;9051;0,8;6,3;завод
Бетонный завод;20;1436;0,1;15;завод
Завод бетонных панелей;20;2917;1,3;8;завод
Асфальтовый завод;20;1439;0,1;18;завод
Кирпичный завод;20;2723;1,5;3;завод
Гравийно-сортировочный завод 1;20;1193;0,3;24;завод
Гравийно-сортировочный завод 2;20;373;0,1;9,2;завод
Лесопилка;20;922;0,4;6,7;завод
Авиастроительный завод;20;24896;16;196;завод
Большой сухой док;30;8513;10;90;завод
Железнодорожный завод;20;14665;10;213;завод
Автозавод;20;10485;10;122;завод
Завод механических деталей;20;5122;3;8,1;завод
Завод электроники;20;1760;3;5,4;завод
Завод электродеталей;20;3424;3;6;завод
Завод ядерного топлива;20;8033;2,4;66;завод
Уранообогатительный комбинат;20;2632;2,4;72;завод
Завод очистки урана;20;515;1,5;38;завод
Мясокомбинат;20;1446;1,56;3,4;завод
Ликеро-водочный завод;20;1542;2;13;завод
Пищевой завод;20;2426;3,4;7,6;завод
Завод огранических удобрений;20;532;0,5;3;завод
Завод синтетических удобрений;20;947;0,5;9,8;завод
Швейная фабрика;20;1728;1,6;3,6;завод
Ткацкая фабрика;20;1715;2;19;завод
Химический завод 1;20;23681;14;197;завод
Химический завод 2;20;2260;1,2;25;завод
Угольный комбинат;20;4122;0,6;15;завод
Нефтеперерабатывающий завод;20;11076;10;36;завод
Алюминиевый завод;20;18802;7;151;завод
Глиноземный завод;20;16393;7,4;17;завод
Бокситообогатительный завод;20;1354;0,5;3;завод
Сталелитейный завод;20;9549;10;48;завод
Железорудный комбинат;20;4122;0,3;17;завод
Завод по переработке алюминия;20;664;0,5;3;завод
Завод по переработке стали;20;1119;0,6;3;завод
Завод по переработке пластмасс;20;573;0,4;4,8;завод
Завод по переработке гравия;20;807;0,3;18;завод
Гостиница (4 звезды);20;1516;5,43;3;временное
Центральная гостиница (4 звезды);20;1571;7,75;3;временное
Гостиница (3 звезды);20;1112;7;3;временное
Горная гостиница (3 звезды);20;896;3,68;3;временное
Малая гостиниц (2 звезды);20;630;4,06;3;временное
Тюрьма 1;20;1060;2,33;3;временное
Тюрьма 2;20;6338;10,85;4,6;временное
Детский дом 1;20;701;2,33;3;временное
Детский дом 2;20;1847;8;3;временное
Отделение госбезопасности;20;805;0,36;3,5;гос
Здание госбезопасности;20;2623;0,6;3,9;гос
Здание районого суда;20;702;0,5;3;гос
Здание суда;20;3071;1,6;3;гос
Опорный пункт милиции;20;485;0,48;3,7;гос
Отделение милиции;20;1048;1,6;5,4;гос
Пожарная часть 1;20;469;0,6;3,9;гос
Пожарная часть 2;20;2370;1;4,5;гос
Пожарная часть 3;20;965;0,8;4,2;гос
Поликлиника;20;365;0,2;3,5;гос
Больница 1;20;8828;3,6;13;гос
Больница 2;20;1002;1,2;5,9;гос
Бар 1;20;993;0,2;3;гос
Пивной ларек;20;26;0,02;3;гос
Бар 2;20;149;0,1;3;гос
Малый универмаг 1;20;829;0,5;3;гос
Малый магазин;20;320;0,3;3;гос
Малый универмаг 2;20;579;0,5;3;гос
Малый универмаг 3;20;929;0,6;3;гос
Универмаг;20;3117;0,9;5,6;гос
Бакалейный ларек;20;17;0,02;3;гос
Гастроном;20;321;0,3;3;гос
Хранилище насыпных грузов;30;2615;0;57;хранилище
Цементохранилище;30;1450;0;15;хранилище
Резервуар;30;681;0;3;хранилище
Хранилище навалочных грузов;30;1994;0;3;хранилище
Элеватор;30;6007;0;3;хранилище
Склад;30;2102;0;3;хранилище
Малое открытое хранилище;30;460;0;20;хранилище
Отделение партийной академии;20;1545;1,6;3,4;гос
Партийная академия;20;7065;2,8;9,2;гос
Технический университет 1;20;1971;1,2;3;гос
Технический университет 2;20;5186;3;7,2;гос
Медицинский университет;20;7388;2;6,6;гос
Школа 1;20;973;1,2;6,1;гос
Школа 2;20;488;0,52;3;гос
Школа 3;20;319;0,28;3;гос
Школа 4;20;1980;1,8;9,2;гос
Детский сад 1;20;915;0,54;3;гос
Детский сад 2;20;509;0,36;3;гос
Детский сад 3;20;392;0,24;3;гос
Многоквартирный дом (серия 1Лг-600А) 1;20;556;3,83;5,1;жилое
Многоквартирный дом (серия 1Лг-600А) 2;20;1391;9,45;12;жилое
Кирпичный многоквартирный дом;20;326;1,35;3;жилое
Панельный многоквартирный дом;20;374;1,94;3;жилое
Простой малоэтажный дом;20;227;1,35;3;жилое
Многоквартирный дом (серия 75);20;589;3,33;4,4;жилое
Панельный многоквартирный дом (серия 464);20;510;5,18;6,9;жилое
