Населенный пункт;Чертеж
Южн Вольск;Гастроном
Нижневольск;Кирпичный завод
Нижневольск;Малый универмаг 2
Верхне-Ск;Бокситообогатительный завод
Троицквольск;Детский сад 3
Нижневольск;Железнодорожный завод
Нижневольск;Детский сад 1
Южнславль;Завод по переработке стали
Нижне-Город;Малый магазин
Великоев;Простой малоэтажный дом
Екатериндар;Завод механических деталей
Южнславль;Простой малоэтажный дом
Дмитровслав;Нефтеперерабатывающий завод
Троицквольск;Горная гостиница (3 звезды)
Нижневольск;Многоквартирный дом (серия 1Лг-600А) 2
Южнславль;Цементный завод 2
Нижне-Город;Мясокомбинат
Дмитровслав;Склад
Нижневольск;Большой сухой док
Троицквольск;Школа 4
Нижневольск;Технический университет 1
Екатериндар;Большой сухой док
Нижне-Город;Малый универмаг 1
Нижне-Город;Пожарная часть 2
Троицквольск;Завод взрывчатых веществ
Нижне-Город;Отделение партийной академии
Великоев;Железорудный комбинат
Нижне-Город;Кирпичный завод
Верхне-Ск;Технический университет 2
Южн Вольск;Завод очистки урана
Нижневольск;Центральная гостиница (4 звезды)
Южнславль;Автозавод
Южн Вольск;Лесопилка
Южн Вольск;Отделение партийной академии
Белмерь;Гостиница (4 звезды)
Екатериндар;Школа 3
Екатериндар;Цементохранилище
Верхне-Ск;Детский дом 1
Нижневольск;Ткацкая фабрика
Нижневольск;Сталелитейный завод
