Название;рабочие места среднее и выше;рабочие места только высшее
Завод взрывчатых веществ;75;0
Цементный завод 1;30;0
Цементный завод 2;40;0
Бетонный завод;5;0
Завод бетонных панелей;65;0
Асфальтовый завод;5;0
Кирпичный завод;75;0
Гравийно-сортировочный завод 1;15;0
Гравийно-сортировочный завод 2;5;0
Лесопилка;20;0
Авиастроительный завод;500;300
Большой сухой док;400;100
Железнодорожный завод;400;100
Автозавод;400;100
Завод механических деталей;150;0
Завод электроники;150;0
Завод электродеталей;150;0
Завод ядерного топлива;50;70
Уранообогатительный комбинат;80;40
Завод очистки урана;60;15
Мясокомбинат;50;0
Ликеро-водочный завод;100;0
Пищевой завод;170;0
Завод огранических удобрений;25;0
Завод синтетических удобрений;25;0
Швейная фабрика;80;0
Ткацкая фабрика;100;0
Химический завод 1;700;0
Химический завод 2;60;0
Угольный комбинат;30;0
Нефтеперерабатывающий завод;500;0
Алюминиевый завод;350;0
Глиноземный завод;370;0
Бокситообогатительный завод;25;0
Сталелитейный завод;500;0
Железорудный комбинат;15;0
Завод по переработке алюминия;25;0
Завод по переработке стали;30;0
Завод по переработке пластмасс;20;0
Завод по переработке гравия;15;0
