Название;Места среднее и выше;Места только высшее;Количесвто посетителей;Число стояночных мест
Отделение госбезопасности;0;18;0;4
Здание госбезопасности;0;30;0;8
Здание районого суда;15;10;0;0
Здание суда;50;30;0;0
Опорный пункт милиции;12;12;0;4
Отделение милиции;40;40;0;8
Пожарная часть 1;30;0;0;2
Пожарная часть 2;50;0;0;8
Пожарная часть 3;40;0;0;4
Поликлиника;5;5;15;1
Больница 1;90;90;450;26
Больница 2;30;30;90;0
Бар 1;10;0;120;0
Пивной ларек;1;0;12;0
Бар 2;5;0;60;0
Малый универмаг 1;25;0;150;0
Малый магазин;15;0;105;0
Малый универмаг 2;25;0;150;0
Малый универмаг 3;30;0;180;0
Универмаг;45;0;405;0
Бакалейный ларек;1;0;10;0
Гастроном;15;0;105;0
Отделение партийной академии;40;40;80;0
Партийная академия;70;70;420;0
Технический университет 1;30;30;60;0
Технический университет 2;75;75;225;0
Медицинский университет;50;50;300;0
Школа 1;30;30;360;0
Школа 2;13;13;156;0
Школа 3;7;7;84;0
Школа 4;45;45;540;0
Детский сад 1;27;0;270;0
Детский сад 2;18;0;180;0
Детский сад 3;12;0;120;0
