Название;Ресурс;Количество
Завод взрывчатых веществ;Бетон;246
Завод взрывчатых веществ;Гравий;62
Завод взрывчатых веществ;Асфальт;50
Завод взрывчатых веществ;Сталь;60
Завод взрывчатых веществ;Механические детали;3,7
Завод взрывчатых веществ;Кирпичи;44
Завод взрывчатых веществ;Доски;14
Цементный завод 1;Бетон;738
Цементный завод 1;Гравий;69
Цементный завод 1;Асфальт;55
Цементный завод 1;Сталь;248
Цементный завод 1;Механические детали;4,2
Цементный завод 2;Бетон;1137
Цементный завод 2;Гравий;262
Цементный завод 2;Асфальт;209
Цементный завод 2;Сталь;233
Цементный завод 2;Механические детали;11
Бетонный завод;Бетон;24
Бетонный завод;Гравий;18
Бетонный завод;Асфальт;14
Бетонный завод;Сталь;29
Бетонный завод;Механические детали;2,4
Бетонный завод;Кирпичи;60
Бетонный завод;Доски;20
Завод бетонных панелей;Бетон;207
Завод бетонных панелей;Гравий;25
Завод бетонных панелей;Асфальт;20
Завод бетонных панелей;Сталь;82
Завод бетонных панелей;Механические детали;7,3
Завод бетонных панелей;Кирпичи;63
Завод бетонных панелей;Доски;21
Асфальтовый завод;Бетон;25
Асфальтовый завод;Гравий;19
Асфальтовый завод;Асфальт;15
Асфальтовый завод;Сталь;40
Асфальтовый завод;Механические детали;8,4
Кирпичный завод;Бетон;49
Кирпичный завод;Гравий;37
Кирпичный завод;Асфальт;30
Кирпичный завод;Кирпичи;157
Кирпичный завод;Доски;70
Кирпичный завод;Сталь;30
Гравийно-сортировочный завод 1;Бетон;109
Гравийно-сортировочный завод 1;Гравий;12
Гравийно-сортировочный завод 1;Асфальт;10
Гравийно-сортировочный завод 1;Сталь;44
Гравийно-сортировочный завод 1;Механические детали;3,9
Гравийно-сортировочный завод 2;Бетон;2,8
Гравийно-сортировочный завод 2;Гравий;2,1
Гравийно-сортировочный завод 2;Асфальт;1,7
Гравийно-сортировочный завод 2;Сталь;12
Гравийно-сортировочный завод 2;Механические детали;2,5
Лесопилка;Бетон;26
Лесопилка;Гравий;20
Лесопилка;Асфальт;16
Лесопилка;Кирпичи;53
Лесопилка;Доски;17
Лесопилка;Сталь;6,6
Авиастроительный завод;Бетон;550
Авиастроительный завод;Гравий;423
Авиастроительный завод;Асфальт;338
Авиастроительный завод;Кирпичи;857
Авиастроительный завод;Доски;285
Авиастроительный завод;Сталь;528
Авиастроительный завод;Панели;357
Авиастроительный завод;Механические детали;13
Большой сухой док;Бетон;985
Большой сухой док;Гравий;241
Большой сухой док;Асфальт;192
Большой сухой док;Сталь;206
Большой сухой док;Кирпичи;98
Большой сухой док;Доски;32
Большой сухой док;Механические детали;1,8
Железнодорожный завод;Бетон;431
Железнодорожный завод;Гравий;331
Железнодорожный завод;Асфальт;265
Железнодорожный завод;Кирпичи;441
Железнодорожный завод;Доски;147
Железнодорожный завод;Сталь;273
Железнодорожный завод;Панели;184
Железнодорожный завод;Механические детали;8,8
Автозавод;Бетон;34
Автозавод;Гравий;257
Автозавод;Асфальт;206
Автозавод;Кирпичи;267
Автозавод;Доски;89
Автозавод;Сталь;203
Автозавод;Панели;111
Автозавод;Механические детали;8,6
Завод механических деталей;Бетон;375
Завод механических деталей;Гравий;88
Завод механических деталей;Асфальт;70
Завод механических деталей;Кирпичи;142
Завод механических деталей;Доски;47
Завод механических деталей;Сталь;133
Завод механических деталей;Механические детали;2,7
Завод электроники;Бетон;121
Завод электроники;Гравий;43
Завод электроники;Асфальт;34
Завод электроники;Сталь;44
Завод электроники;Кирпичи;35
Завод электроники;Доски;11
Завод электроники;Механические детали;0,77
Завод электродеталей;Бетон;300
Завод электродеталей;Гравий;28
Завод электродеталей;Асфальт;22
Завод электродеталей;Кирпичи;143
Завод электродеталей;Доски;47
Завод электродеталей;Сталь;82
Завод электродеталей;Механические детали;0,9
Завод ядерного топлива;Бетон;276
Завод ядерного топлива;Гравий;213
Завод ядерного топлива;Асфальт;170
Завод ядерного топлива;Сталь;318
Завод ядерного топлива;Механические детали;15
Уранообогатительный комбинат;Бетон;54
Уранообогатительный комбинат;Гравий;41
Уранообогатительный комбинат;Асфальт;33
Уранообогатительный комбинат;Сталь;144
Уранообогатительный комбинат;Механические детали;4,7
Завод очистки урана;Бетон;25
Завод очистки урана;Гравий;19
Завод очистки урана;Асфальт;15
Завод очистки урана;Сталь;14
Завод очистки урана;Механические детали;0,68
Мясокомбинат;Бетон;34
Мясокомбинат;Гравий;26
Мясокомбинат;Асфальт;21
Мясокомбинат;Кирпичи;28
Мясокомбинат;Доски;9,5
Мясокомбинат;Сталь;28
Мясокомбинат;Панели;71
Ликеро-водочный завод;Бетон;25
Ликеро-водочный завод;Гравий;19
Ликеро-водочный завод;Асфальт;15
Ликеро-водочный завод;Сталь;26
Ликеро-водочный завод;Кирпичи;91
Ликеро-водочный завод;Доски;30
Пищевой завод;Бетон;46
Пищевой завод;Гравий;35
Пищевой завод;Асфальт;28
Пищевой завод;Кирпичи;139
Пищевой завод;Доски;46
Пищевой завод;Сталь;40
Завод огранических удобрений;Бетон;15
Завод огранических удобрений;Гравий;11
Завод огранических удобрений;Асфальт;9,5
Завод огранических удобрений;Сталь;28
Завод огранических удобрений;Механические детали;0,35
Завод синтетических удобрений;Бетон;16
Завод синтетических удобрений;Гравий;12
Завод синтетических удобрений;Асфальт;10
Завод синтетических удобрений;Сталь;42
Завод синтетических удобрений;Механические детали;3,4
Швейная фабрика;Бетон;224
Швейная фабрика;Гравий;44
Швейная фабрика;Асфальт;35
Швейная фабрика;Сталь;40
Швейная фабрика;Кирпичи;25
Швейная фабрика;Доски;8,6
Ткацкая фабрика;Бетон;62
Ткацкая фабрика;Гравий;34
Ткацкая фабрика;Асфальт;27
Ткацкая фабрика;Сталь;16
Ткацкая фабрика;Кирпичи;94
Ткацкая фабрика;Доски;31
Ткацкая фабрика;Механические детали;0,062
Химический завод 1;Бетон;2473
Химический завод 1;Гравий;445
Химический завод 1;Асфальт;356
Химический завод 1;Сталь;607
Химический завод 1;Кирпичи;413
Химический завод 1;Доски;137
Химический завод 1;Механические детали;26
Химический завод 2;Бетон;62
Химический завод 2;Гравий;48
Химический завод 2;Асфальт;38
Химический завод 2;Сталь;52
Химический завод 2;Кирпичи;17
Химический завод 2;Доски;45
Химический завод 2;Механические детали;5,8
Угольный комбинат;Бетон;360
Угольный комбинат;Гравий;65
Угольный комбинат;Асфальт;52
Угольный комбинат;Сталь;200
Угольный комбинат;Механические детали;4,2
Нефтеперерабатывающий завод;Бетон;219
Нефтеперерабатывающий завод;Гравий;168
Нефтеперерабатывающий завод;Асфальт;134
Нефтеперерабатывающий завод;Сталь;301
Нефтеперерабатывающий завод;Механические детали;62
Алюминиевый завод;Бетон;603
Алюминиевый завод;Гравий;464
Алюминиевый завод;Сталь;792
Алюминиевый завод;Механические детали;28
Алюминиевый завод;Электродетали;7,1
Глиноземный завод;Бетон;507
Глиноземный завод;Гравий;390
Глиноземный завод;Кирпичи;471
Глиноземный завод;Доски;157
Глиноземный завод;Сталь;425
Глиноземный завод;Механические детали;11
Бокситообогатительный завод;Бетон;27
Бокситообогатительный завод;Гравий;21
Бокситообогатительный завод;Сталь;74
Бокситообогатительный завод;Механические детали;2,5
Сталелитейный завод;Бетон;484
