Транспорт;ресурс;количество
Марс-305;Сталь;7,9
Марс-305;Пластик;0,34
Марс-305;Ткань;0,33
Марс-305;Механические детали;1,1
Марс-305;Электродетали;0,16
ГЗ М-21;Сталь;8,8
ГЗ М-21;Пластик;0,38
ГЗ М-21;Ткань;0,005
ГЗ М-21;Механические детали;1,3
ГЗ М-21;Электродетали;0,17
T-815 УДС;Сталь;13
T-815 УДС;Пластик;0,57
T-815 УДС;Ткань;0,005
T-815 УДС;Механические детали;1,9
T-815 УДС;Электродетали;0,26
Ш-120 (милицейский);Сталь;0,95
Ш-120 (милицейский);Пластик;0,035
Ш-120 (милицейский);Ткань;0,014
Ш-120 (милицейский);Механические детали;0,23
Ш-120 (милицейский);Электродетали;0,029
КМЗ-5320 (крытый);Сталь;8,8
КМЗ-5320 (крытый);Пластик;0,38
КМЗ-5320 (крытый);Ткань;0,005
КМЗ-5320 (крытый);Механические детали;1,3
КМЗ-5320 (крытый);Электродетали;0,17
КМЗ-5410 (самосвал);Сталь;12
КМЗ-5410 (самосвал);Пластик;0,54
КМЗ-5410 (самосвал);Ткань;0,005
КМЗ-5410 (самосвал);Механические детали;1,5
КМЗ-5410 (самосвал);Электродетали;0,21
КМЗ-5320 (бетономешалка);Сталь;8,9
КМЗ-5320 (бетономешалка);Пластик;0,38
КМЗ-5320 (бетономешалка);Ткань;0,005
КМЗ-5320 (бетономешалка);Механические детали;1,3
КМЗ-5320 (бетономешалка);Электродетали;0,17
Т-813 6х6 (бортовой);Сталь;18
Т-813 6х6 (бортовой);Пластик;0,84
Т-813 6х6 (бортовой);Ткань;0,005
Т-813 6х6 (бортовой);Механические детали;2,2
Т-813 6х6 (бортовой);Электродетали;0,31
Локомотив Г-22;Сталь;67
Локомотив Г-22;Пластик;2,8
Локомотив Г-22;Ткань;0,005
Локомотив Г-22;Механические детали;12
Локомотив Г-22;Электродетали;1,4
КЖ-461 (путеукладчик);Сталь;236
КЖ-461 (путеукладчик);Пластик;9,5
КЖ-461 (путеукладчик);Ткань;0,030
КЖ-461 (путеукладчик);Механические детали;30
КЖ-461 (путеукладчик);Электродетали;4
Ми-2;Сталь;0,12
Ми-2;Алюминий;1,7
Ми-2;Пластик;0,035
Ми-2;Ткань;0,004
Ми-2;Механические детали;0,81
Ми-2;Электродетали;0,13
Ми-2;Электроника;0,047
Ан-2;Сталь;0,17
Ан-2;Алюминий;2,6
Ан-2;Пластик;0,051
Ан-2;Ткань;0,004
Ан-2;Механические детали;1,1
Ан-2;Электродетали;0,18
Ан-2;Электроника;0,066
Балтика (танкер);Сталь;4516
Балтика (танкер);Пластик;87
Балтика (танкер);Ткань;0,002
Балтика (танкер);Механические детали;663
Балтика (танкер);Электродетали;46
