Название;Ресурс;Количество
Завод взрывчатых веществ;Химикаты;0,75
Завод взрывчатых веществ;Гравий;2,3
Завод взрывчатых веществ;Древесина;1,5
Цементный завод 1;Уголь;22
Цементный завод 1;Гравий;210
Цементный завод 1;Электричество;6
Цементный завод 2;Уголь;28
Цементный завод 2;Гравий;240
Цементный завод 2;Электричество;5,1
Бетонный завод;Гравий;135
Бетонный завод;Цемент;30
Бетонный завод;Вода;85
Бетонный завод;Электричество;12
Завод бетонных панелей;Цемент;9,8
Завод бетонных панелей;Гравий;65
Завод бетонных панелей;Электричество;6
Асфальтовый завод;Гравий;125
Асфальтовый завод;Битум;20
Асфальтовый завод;Электричество;15
Кирпичный завод;Уголь;33
Гравийно-сортировочный завод 1;Камень;120
Гравийно-сортировочный завод 1;Электричество;24
Гравийно-сортировочный завод 2;Камень;40
Гравийно-сортировочный завод 2;Электричество;27
Лесопилка;Древесина;180
Лесопилка;Электричество;1,6
Завод механических деталей;Сталь;22
Завод электроники;Электродетали;1,5
Завод электроники;Пластик;2,3
Завод электроники;Механические детали;1,5
Завод электродеталей;Пластик;1,5
Завод электродеталей;Сталь;1,5
Завод электродеталей;Химикаты;1,2
Завод ядерного топлива;Фторид урана;0,4
Завод ядерного топлива;Химикаты;0,75
Завод ядерного топлива;Электричество;42
Уранообогатительный комбинат;Оксид урана;2
Уранообогатительный комбинат;Химикаты;0,21
Уранообогатительный комбинат;Электричество;48
Завод очистки урана;Урановая руда;36
Завод очистки урана;Электричество;36
Мясокомбинат;Скот;150
Ликеро-водочный завод;Зерно;30
Ликеро-водочный завод;Вода;13
Ликеро-водочный завод;Электричество;10
Пищевой завод;Зерно;42
Пищевой завод;Вода;8,5
Завод огранических удобрений;Биологические отходы;30
Завод огранических удобрений;Химикаты;0,075
Завод синтетических удобрений;Химикаты;0,31
Завод синтетических удобрений;Вода;15
Швейная фабрика;Ткань;2,4
Ткацкая фабрика;Зерно;20
Ткацкая фабрика;Химикаты;0,5
Ткацкая фабрика;Вода;11
Ткацкая фабрика;Электричество;10
Химический завод 1;Гравий;8,4
Химический завод 1;Древесина;9,8
Химический завод 1;Зерно;9,1
Химический завод 1;Нефть;14
Химический завод 1;Вода;119
Химический завод 1;Электричество;168
Химический завод 2;Гравий;0,72
Химический завод 2;Древесина;0,84
Химический завод 2;Зерно;0,78
Химический завод 2;Нефть;1,2
Химический завод 2;Вода;10
Химический завод 2;Электричество;14
Угольный комбинат;Уголь-сырец;420
Угольный комбинат;Электричество;15
Нефтеперерабатывающий завод;Нефть;250
Нефтеперерабатывающий завод;Электричество;12
Алюминиевый завод;Глинозем;52
Алюминиевый завод;Химикаты;2,5
Алюминиевый завод;Электричество;141
Глиноземный завод;Бокситы;77
Глиноземный завод;Уголь;29
Глиноземный завод;Химикаты;2,6
Глиноземный завод;Вода;29
Бокситообогатительный завод;Бокситы-сырцы;125
Сталелитейный завод;Уголь;375
Сталелитейный завод;Железо;200
Сталелитейный завод;Электричество;33
Железорудный комбинат;Железная руда;225
Железорудный комбинат;Электричество;16
Завод по переработке алюминия;Алюминиевый лом;25
Завод по переработке стали;Железный лом;36
Завод по переработке пластмасс;Пластиковые отходы;10
Завод по переработке пластмасс;Электричество;4,2
Завод по переработке гравия;Строительный мусор;90
Завод по переработке гравия;Электричество;18
