Название;Ресурс;Количество
Завод взрывчатых веществ;Химикаты;10
Завод взрывчатых веществ;Гравий;50
Завод взрывчатых веществ;Древесина;20
Завод взрывчатых веществ;Взрывчатка;8
Завод взрывчатых веществ;Смешанные отходы;6,5
Завод взрывчатых веществ;Опасные отходы;11
Цементный завод 1;Уголь;75
Цементный завод 1;Гравий;75
Цементный завод 1;Цемент;70
Цементный завод 1;Смешанные отходы;41
Цементный завод 2;Уголь;200
Цементный завод 2;Гравий;200
Цементный завод 2;Цемент;200
Цементный завод 2;Смешанные отходы;43
Бетонный завод;Гравий;80
Бетонный завод;Цемент;40
Бетонный завод;Вода;60
Бетонный завод;Бетон;1
Бетонный завод;Смешанные отходы;27
Завод бетонных панелей;Цемент;25
Завод бетонных панелей;Гравий;70
Завод бетонных панелей;Панели;108
Завод бетонных панелей;Смешанные отходы;8,5
Асфальтовый завод;Битум;15
Асфальтовый завод;Гравий;30
Асфальтовый завод;Асфальт;1
Асфальтовый завод;Смешанные отходы;6,5
Кирпичный завод;Уголь;75
Кирпичный завод;Кирпичи;56
Кирпичный завод;Смешанные отходы;6,5
Гравийно-сортировочный завод 1;Камень;100
Гравийно-сортировочный завод 1;Гравий;380
Гравийно-сортировочный завод 1;Смешанные отходы;21
Гравийно-сортировочный завод 2;Камень;10
Гравийно-сортировочный завод 2;Гравий;145
Гравийно-сортировочный завод 2;Смешанные отходы;11
Лесопилка;Древесина;60
Лесопилка;Доски;50
Лесопилка;Смешанные отходы;16
Авиастроительный завод;Пластик;62
Авиастроительный завод;Механические детали;125
Авиастроительный завод;Электродетали;87
Авиастроительный завод;Электроника;87
Авиастроительный завод;Ткань;175
Авиастроительный завод;Сталь;400
Авиастроительный завод;Алюминий;400
Авиастроительный завод;Смешанные отходы;106
Большой сухой док;Пластик;62
Большой сухой док;Механические детали;125
Большой сухой док;Электродетали;87
Большой сухой док;Ткань;175
Большой сухой док;Сталь;300
Большой сухой док;Смешанные отходы;106
Железнодорожный завод;Пластик;62
Железнодорожный завод;Механические детали;125
Железнодорожный завод;Электродетали;87
Железнодорожный завод;Ткань;175
Железнодорожный завод;Сталь;300
Железнодорожный завод;Смешанные отходы;106
Автозавод;Пластик;62
Автозавод;Механические детали;125
Автозавод;Электродетали;87
Автозавод;Ткань;175
Автозавод;Сталь;300
Автозавод;Смешанные отходы;106
Завод механических деталей;Механические детали;17
Завод механических деталей;Сталь;40
