Название;Ресурс;Количество
Завод взрывчатых веществ;Взрывчатка;1,1
Цементный завод 1;Цемент;81
Цементный завод 2;Цемент;108
Бетонный завод;Бетон;175
Завод бетонных панелей;Бетонные панели;71
Асфальтовый завод;Асфальт;145
Кирпичный завод;Кирпичи;51
Гравийно-сортировочный завод 1;Гравий;82
Гравийно-сортировочный завод 2;Гравий;27
Лесопилка;Доски;140
Завод механических деталей;Механические детали;15
Завод электроники;Электроника;4,5
Завод электродеталей;Электродетали;3,8
Завод ядерного топлива;Ядерное топливо;0,095
Уранообогатительный комбинат;Фторид урана;0,96
Завод очистки урана;Оксид урана;1,7
Мясокомбинат;Мясо;60
Ликеро-водочный завод;Алкоголь;6
Пищевой завод;Пища;20
Завод огранических удобрений;Органические удобрения;25
Завод синтетических удобрений;Синтетические удобрения;17
Швейная фабрика;Одежда;1,2
Ткацкая фабрика;Ткань;5
Химический завод 1;Химикаты;9,4
Химический завод 2;Химикаты;0,81
Угольный комбинат;Уголь;240
Нефтеперерабатывающий завод;Топливо;125
Нефтеперерабатывающий завод;Битум;75
Алюминиевый завод;Алюминий;30
Глиноземный завод;Глинозем;33
Бокситообогатительный завод;Бокситы;75
Сталелитейный завод;Сталь;43
Железорудный комбинат;Железо;105
Завод по переработке алюминия;Алюминий;12
Завод по переработке стали;Сталь;19
Завод по переработке пластмасс;Пластик;2
Завод по переработке гравия;Гравий;60
