Название;макс. скорость;число трудодней;вид
Марс-305;105;558;Автомобильный
ГЗ М-21;125;119;Автомобильный
T-815 УДС;80;930;Автомобильный
Ш-120 (милицейский);140;74;Автомобильный
КМЗ-5320 (крытый);95;622;Автомобильный
КМЗ-5410 (самосвал);95;837;Автомобильный
КМЗ-5320 (бетономешалка);95;628;Автомобильный
Т-813 6х6 (бортовой);92;1286;Автомобильный
Локомотив Г-22;150;3502;Железнодорожный
КЖ-461 (путеукладчик);75;12358;Железнодорожный
Ми-2;185;495;Воздушный
Ан-2;258;707;Воздушный
Балтика (танкер);17;221605;Водный
