Название транспорта
Т-813 6х6 (бортовой)
Т-813 6х6 (бортовой)
Ан-2
КМЗ-5320 (бетономешалка)
Локомотив Г-22
КМЗ-5410 (самосвал)
Балтика (танкер)
ГЗ М-21
Балтика (танкер)
Ш-120 (милицейский)
Ми-2
КЖ-461 (путеукладчик)
КМЗ-5320 (бетономешалка)
Ан-2
T-815 УДС
T-815 УДС
Ми-2
Балтика (танкер)
КЖ-461 (путеукладчик)
КМЗ-5320 (крытый)
ГЗ М-21
T-815 УДС
КЖ-461 (путеукладчик)
ГЗ М-21
Локомотив Г-22
КМЗ-5410 (самосвал)
КМЗ-5320 (бетономешалка)
КМЗ-5320 (бетономешалка)
Ми-2
Ш-120 (милицейский)
Локомотив Г-22
Балтика (танкер)
КМЗ-5320 (крытый)
Балтика (танкер)
Балтика (танкер)
Ми-2
Т-813 6х6 (бортовой)
T-815 УДС
КМЗ-5410 (самосвал)
КМЗ-5320 (бетономешалка)
КМЗ-5320 (бетономешалка)
Т-813 6х6 (бортовой)
